,user_id,install_date,last_active_date,subscription_type,country,total_sessions,page_views,download_clicks,activation_status,days_active,pro_upgrade_date,plan_type,monthly_revenue,churned
0,1,2023-06-29,2023-07-12,Free,UK,3,15,1,1,13,,free,0,1
1,2,2023-04-10,2023-07-25,Free,India,133,665,0,1,106,,free,0,0
2,3,2023-10-25,2023-12-07,Free,USA,53,106,0,1,43,,free,0,0
3,4,2023-08-26,2023-11-09,Pro,Canada,242,242,0,1,75,2023-11-09,Basic,49,0
4,5,2023-05-14,2023-11-22,Free,UK,12,48,0,1,192,,free,0,0
5,6,2023-12-17,2023-12-28,Free,Canada,92,460,0,1,11,,free,0,1
6,7,2023-07-29,2023-11-26,Free,UK,12,12,0,1,120,,free,0,0
7,8,2023-01-12,2023-01-24,Free,USA,115,230,0,1,12,,free,0,1
8,9,2023-09-19,2023-12-02,Free,USA,67,201,0,1,74,,free,0,0
9,10,2023-04-19,2023-08-21,Free,Germany,46,138,0,1,124,,free,0,0
10,11,2023-08-26,2023-12-11,Free,Australia,23,92,0,1,107,,free,0,0
11,12,2023-07-06,2023-07-09,Free,Germany,29,29,0,1,3,,free,0,1
12,13,2023-08-17,2023-09-25,Free,Canada,24,120,0,1,39,,free,0,0
13,14,2023-02-03,2023-03-26,Free,Germany,7,21,0,1,51,,free,0,0
14,15,2023-02-22,2023-09-14,Pro,USA,89,356,0,1,204,2023-09-14,Standard,99,0
15,16,2023-05-08,2023-09-27,Pro,USA,175,525,0,1,142,2023-09-27,Standard,49,0
16,17,2023-04-06,2023-04-16,Free,UK,138,138,0,1,10,,free,0,1
17,18,2023-03-04,2023-07-25,Free,Canada,98,98,0,1,143,,free,0,0
18,19,2023-03-02,2023-10-23,Pro,USA,22,66,0,1,235,2023-10-23,Standard,99,0
19,20,2023-01-11,2023-09-26,Free,USA,29,145,0,1,258,,free,0,0
20,21,2023-03-17,2023-08-28,Free,India,38,38,0,1,164,,free,0,0
21,22,2023-09-27,2023-11-21,Free,USA,57,114,0,1,55,,free,0,0
22,23,2023-08-07,2023-11-06,Free,USA,121,121,0,1,91,,free,0,0
23,24,2023-09-23,2023-11-19,Free,India,147,441,0,1,57,,free,0,0
24,25,2023-10-09,2023-12-21,Free,Germany,61,183,0,1,73,,free,0,0
25,26,2023-07-13,2023-10-02,Pro,USA,61,183,0,1,81,2023-10-02,Basic,99,0
26,27,2023-06-05,2023-12-12,Free,Germany,137,548,0,1,190,,free,0,0
27,28,2023-06-25,2023-09-13,Free,Australia,25,25,0,1,80,,free,0,0
28,29,2023-06-12,2023-12-11,Free,France,70,210,0,1,182,,free,0,0
29,30,2023-06-17,2023-11-08,Pro,USA,277,1108,0,1,144,2023-11-08,Enterprise,99,0
30,31,2023-01-31,2023-05-29,Free,France,14,14,0,1,118,,free,0,0
31,32,2023-02-02,2023-10-04,Free,Australia,110,220,0,1,244,,free,0,0
32,33,2023-02-10,2023-08-02,Free,Germany,19,57,0,1,173,,free,0,0
33,34,2023-12-20,2024-01-01,Free,France,53,159,1,1,12,,free,0,1
34,35,2023-05-30,2023-07-27,Free,Canada,132,528,0,1,58,,free,0,0
35,36,2023-10-01,2023-10-02,Free,Canada,58,116,1,1,1,,free,0,1
36,37,2023-06-03,2023-07-14,Free,Germany,12,12,1,1,41,,free,0,0
37,38,2023-11-19,2023-12-05,Free,Canada,6,18,0,1,16,,free,0,1
38,39,2023-04-10,2023-07-29,Pro,Australia,81,243,0,1,110,2023-07-29,Standard,29,0
39,40,2023-05-07,2023-12-15,Pro,Germany,114,456,1,1,222,2023-12-15,Enterprise,99,0
40,41,2023-11-29,2023-12-09,Free,Germany,74,370,0,1,10,,free,0,1
41,42,2023-03-18,2023-12-07,Free,Germany,85,170,0,1,264,,free,0,0
42,43,2023-05-29,2023-11-11,Free,India,115,345,0,1,166,,free,0,0
43,44,2023-10-14,2023-12-25,Free,UK,91,364,0,1,72,,free,0,0
44,45,2023-05-06,2023-06-30,Free,France,141,564,0,1,55,,free,0,0
45,46,2024-01-01,2024-01-01,Free,France,57,171,0,1,0,,free,0,1
46,47,2023-06-15,2023-10-12,Free,Canada,24,96,0,1,119,,free,0,0
47,48,2023-05-15,2023-09-12,Free,Australia,125,500,0,1,120,,free,0,0
48,49,2023-06-11,2023-07-23,Free,France,55,55,0,1,42,,free,0,0
49,50,2023-03-20,2023-11-08,Free,Germany,21,42,0,1,233,,free,0,0
50,51,2023-01-07,2023-08-28,Free,India,4,12,0,1,233,,free,0,0
51,52,2023-05-31,2023-09-20,Free,India,140,140,0,1,112,,free,0,0
52,53,2023-05-10,2023-08-20,Free,USA,15,30,0,1,102,,free,0,0
53,54,2023-04-10,2023-08-08,Free,Canada,17,51,0,1,120,,free,0,0
54,55,2023-10-20,2023-12-12,Free,France,94,470,0,1,53,,free,0,0
55,56,2023-12-03,2023-12-15,Free,Canada,57,114,0,1,12,,free,0,1
56,57,2023-11-18,2023-12-26,Free,France,26,104,1,1,38,,free,0,0
57,58,2023-11-26,2023-12-26,Free,UK,42,84,0,1,30,,free,0,0
58,59,2023-01-10,2023-02-19,Pro,USA,12,48,0,1,40,2023-02-19,Standard,99,0
59,60,2023-01-17,2023-02-08,Free,Germany,54,270,0,1,22,,free,0,1
60,61,2023-01-31,2023-04-14,Free,Australia,90,180,0,1,73,,free,0,0
61,62,2023-11-23,2023-11-23,Free,Australia,147,294,0,1,0,,free,0,1
62,63,2023-05-07,2023-10-21,Free,UK,107,428,0,1,167,,free,0,0
63,64,2023-11-12,2023-12-14,Free,UK,49,49,0,1,32,,free,0,0
64,65,2023-03-25,2023-07-05,Free,India,106,424,0,1,102,,free,0,0
65,66,2023-07-05,2023-10-15,Pro,Australia,130,650,0,1,102,2023-10-15,Basic,49,0
66,67,2023-05-06,2023-12-04,Free,UK,133,532,0,1,212,,free,0,0
67,68,2023-01-13,2023-10-24,Free,Germany,149,596,0,1,284,,free,0,0
68,69,2023-06-05,2023-10-19,Free,Canada,41,205,0,1,136,,free,0,0
69,70,2023-01-19,2023-05-25,Free,Canada,73,146,0,1,126,,free,0,0
70,71,2023-11-20,2023-11-26,Free,USA,138,138,0,1,6,,free,0,1
71,72,2023-04-10,2023-07-11,Free,Canada,147,588,0,1,92,,free,0,0
72,73,2023-04-30,2023-12-07,Free,USA,133,133,0,1,221,,free,0,0
73,74,2023-10-01,2023-11-05,Free,India,133,665,0,1,35,,free,0,0
74,75,2023-02-21,2023-08-07,Free,USA,117,117,0,1,167,,free,0,0
75,76,2023-10-08,2023-11-10,Free,Australia,14,70,0,1,33,,free,0,0
76,77,2023-12-23,2023-12-24,Free,USA,59,59,0,1,1,,free,0,1
77,78,2023-09-11,2023-12-31,Free,USA,11,22,0,1,111,,free,0,0
78,79,2023-08-14,2023-10-20,Free,UK,30,60,0,1,67,,free,0,0
79,80,2023-09-17,2023-10-28,Free,France,23,92,0,1,41,,free,0,0
80,81,2023-01-10,2023-12-23,Free,Germany,108,216,0,1,347,,free,0,0
81,82,2023-10-03,2023-11-27,Free,India,114,114,0,1,55,,free,0,0
82,83,2023-05-11,2023-09-09,Free,Australia,119,119,0,1,121,,free,0,0
83,84,2023-01-09,2023-05-02,Free,India,93,279,1,1,113,,free,0,0
84,85,2023-07-11,2023-07-31,Free,USA,53,53,0,1,20,,free,0,1
85,86,2023-06-29,2023-07-11,Free,India,118,590,1,1,12,,free,0,1
86,87,2023-06-20,2023-12-09,Free,India,81,324,0,1,172,,free,0,0
87,88,2023-10-20,2023-12-24,Free,France,118,472,0,1,65,,free,0,0
88,89,2024-01-01,2024-01-01,Free,France,30,60,0,1,0,,free,0,1
89,90,2023-04-22,2023-10-24,Free,Germany,137,685,0,1,185,,free,0,0
90,91,2023-10-08,2023-12-05,Free,UK,49,196,0,1,58,,free,0,0
91,92,2023-02-22,2023-09-16,Free,USA,133,665,0,1,206,,free,0,0
92,93,2023-05-02,2023-11-06,Free,UK,101,404,0,1,188,,free,0,0
93,94,2023-02-03,2023-11-28,Free,USA,103,206,0,1,298,,free,0,0
94,95,2023-09-18,2023-12-05,Free,UK,70,210,0,1,78,,free,0,0
95,96,2023-06-09,2023-10-07,Pro,Canada,94,376,1,1,120,2023-10-07,Basic,49,0
